"id","wifi","workspace","quiet","all_three","wifi_workspace_only","wifi_only","neighbourhood_cleansed","neighbourhood_group_cleansed","price"
49048,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Bedford-Stuyvesant","Brooklyn",104
50447,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Gowanus","Brooklyn",154
51438,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Upper East Side","Manhattan",130
52689,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Ditmars Steinway","Queens",169
53469,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Middle Village","Queens",130
53470,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Ridgewood","Queens",193
53477,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Middle Village","Queens",350
54466,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Harlem","Manhattan",200
54508,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Park Slope","Brooklyn",95
54544,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Harlem","Manhattan",161
54694,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Jamaica","Queens",65
54860,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Harlem","Manhattan",125
55959,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",129
55982,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Fort Greene","Brooklyn",85
56859,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Harlem","Manhattan",74
57166,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Ditmars Steinway","Queens",149
57297,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Brooklyn Heights","Brooklyn",249
57618,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Hell's Kitchen","Manhattan",250
57754,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Flatiron District","Manhattan",350
57874,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"East Harlem","Manhattan",165
58059,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Harlem","Manhattan",65
58062,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Windsor Terrace","Brooklyn",139
59014,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Lower East Side","Manhattan",180
59121,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Ridgewood","Queens",215
59709,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Chinatown","Manhattan",300
60164,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Tribeca","Manhattan",500
60181,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Village","Manhattan",195
60457,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Greenwich Village","Manhattan",250
60611,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"East Harlem","Manhattan",135
60666,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Harlem","Manhattan",111
60673,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Harlem","Manhattan",125
60680,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"East Village","Manhattan",130
60794,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Upper West Side","Manhattan",211
61509,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Midtown","Manhattan",110
62891,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"East Village","Manhattan",95
62925,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Greenpoint","Brooklyn",315
63588,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Clason Point","Bronx",89
63610,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Eastchester","Bronx",97
63657,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bedford-Stuyvesant","Brooklyn",135
64015,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Village","Manhattan",200
64107,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Crown Heights","Brooklyn",100
64314,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Crown Heights","Brooklyn",100
64365,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Crown Heights","Brooklyn",65
64837,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"East Village","Manhattan",70
65425,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Nolita","Manhattan",199
65615,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Williamsburg","Brooklyn",85
65660,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",95
65813,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Harlem","Manhattan",75
66008,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Carroll Gardens","Brooklyn",190
66251,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"East Village","Manhattan",370
66275,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Nolita","Manhattan",199
66741,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Park Slope","Brooklyn",171
66974,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Gowanus","Brooklyn",220
67288,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"East Harlem","Manhattan",250
67299,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",160
68735,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Upper West Side","Manhattan",215
68900,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Greenpoint","Brooklyn",100
68974,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Nolita","Manhattan",596
69894,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Upper West Side","Manhattan",160
71010,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Washington Heights","Manhattan",332
71248,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Chinatown","Manhattan",107
71366,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Greenwich Village","Manhattan",200
71384,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Greenpoint","Brooklyn",229
